CompanyName,TelNum,Address,Latitude,Longitude
Kampung Baru Ampang Recycling Centre (Tzu Chi),03-62563800,"59, Jalan 14E, Kampung Baru Ampang, 68000 Ampang, Selangor",3.1363211,101.7585931
Kampung Baru Serdang Recycling Centre (Tzu Chi),03-62563800,"1928, Jalan SK 13/5, 43300 Seri Kembangan, Selangor",3.026955,101.698907
Kampung Semenyih Recycling Centre (Tzu Chi),03-62563800,"Jalan 14, Kampung Bahru Semenyih, 43500 Semenyih, Selangor",2.9512434,101.8413138
Kapar Recycling Centre (Tzu Chi),03-3382 0066 / 0660,"No 47, Jalan Bukit Kapar, 42200 Kapar, Selangor",3.1410063,101.3805764
Kayu Ara Recycling Centre (Tzu Chi),03-6256 3800,"39, Jalan PJU6A/3 Kayu Ara Business Park 47400 Petaling Jaya Selangor",3.1335234,101.6149434
KHK Recycle Sdn Bhd,04-331 2024,"No. 49, Lorong Mak Mandin 5/3, Kawasan Perindustrian Mak Mandin, 13400 Butterworth, Pulau Pinang",5.4183863,100.3899507
Kitar Teliti Sdn Bhd,011-2762 5772,"PLO 2, PTD 10038, Kawasan Perindustrian 2, Jalan Labis, 85000 Segamat Johor",2.4648963,102.9147835
Kota Kemuning Recycling Centre (Tzu Chi),03-6256 3800,"Jalan Anggerik Vanilla 31/95, Kota Kemuning, 40460 Shah Alam, Selangor",3.0073144,101.5356993
Kt Wan Recycle,012-9542 066,"No-A35, Kawasan Perindustrian Chendering, 21080 Kuala Terengganu, Terengganu",5.271116,103.1640419
Laksana Cergas Sdn Bhd,017-9591 980,"Lot 3143, Kawasan Perindustrian Pengkalan Chepa 2, 16100 Kota Bharu, Kelantan",6.10767,102.2664419
Lembaga Perbandaran Kudat,088-624600,"Bangunan Dewan Tun Mustapha, Peti Surat 201, 89058 Kudat, Sabah",6.8831917,116.8496877
Lotus’s Cheng (Cawangan Meriahtek),017-4572527,"No. 1, Jalan Inang 3, Taman Paya Rumput, 75460 Melaka",2.2813286,102.2162528
LSPCM (Melaka) Sdn Bhd,06-3514 711,"Lot 152-160, Jalan PBR 18, Kawasan Perindustrian Bukit Rambai, 75250, Melaka",2.2694436,102.1813643
Majlis Bandaraya Ipoh (Parlimen Batu Gajah),012-5169009,"Dewan Orang Ramai Jelapang, Jalan Besar, Jelapang, 30020 Ipoh, Perak",4.6380029,101.0639191
